type_question,question,format_answer,full_answer
"Благоустройство, ЖКХ и уборка дорог","Улица Вавилова дом 22. В 3 парадной на 2 и 5 этажах нет света. На 5-м этаже живут пожилые люди и маленькие дети. Исправьте ситуацию, пожалуйста, как можно скорее!",шаблонный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Сожалеем, что так случилось. И прежде всего советуем обратиться в управляющую компанию вашего дома. 

Если по какой-то причине УК не сможет решить проблему, Вы можете оставить заявку на сайте портала «Наш Санкт-Петербург»: https://gorod.gov.spb.ru/
Это общегородской портал, где жители рассказывают о проблемах ЖКХ и благоустройства, а ответственные службы принимают во внимание проблему и решают её.

Мы представляем группу разработчиков мини-приложения «Я здесь живу» и можем только подсказать, куда нужно обращаться."
"Работа мини-аппа (найти, отписаться, указать адрес и т.п.)","как добавить приложение в сообщество? я подписалась, но в сообществе его не вижу
алле, вы живы?",шаблонный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Извините за долгий ответ. Дело в том, что на выходных мы не отвечаем на сообщения, наша команда отдыхает.

Для того, чтобы установить мини-приложение «Я здесь живу» в Меню сообщества необходимо:
1. Открыть приложение «Я здесь живу».
2. Нажать + в верхнем левом углу главной страницы.
3. Выбрать сообщество, в которое хотите добавить приложение и подтвердить установку, кликнув по кнопке Добавить в правом нижнем углу экрана.
4. Перейьт в ваше сообщество. Приложение «Я здесь живу» будет отображаться в Меню.

Прикрепляем ссылку на статью-инструкцию «Как установить приложение в сообщество»: https://vk.com/@ya_zdes_zhivu-ustanovka-i-nastroika-prilozheniya-ya-zdes-zhivu-v-soobsches

Если возникнут дополнительные вопросы, обязательно напишите нам, постараемся помочь."
Образование. Детские сады и Школы,"Добрый вечер. Как быстро добавляются новые сады? Садик завтра открывается, а в приложении его нет .Его просто нет и не было в приложении, как других новых садов, которые ожидали открытия","Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Мы получаем данные напрямую от Комитета по образованию Санкт-Петербурга, поэтому мы доверяем нашим данным."
Раздельный сбор,Кибальчича 10 - убрали раздельный сбор и теперь перевалочный пункт строительных отходов 😡😡😡,"Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Нам очень жаль, что такой важный пункт убрали.

Вы можете сообщить об этой проблеме на сайт РЭО Радар — https://radar.reo.ru

Специалисты проверят информацию и разберутся с ситуацией."
Прочее,// пользователи присылают репосты/ эмоджи/ голосовые сообщения //,шаблонный,"1. На репост:

Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Спасибо, что делитесь с нами. / Благодарим за распространение информации!

2. На эмоджи:

Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

К сожалению, не понимаем, что Вы имеете ввиду.

Не могли бы бы написать словами?

3. На голосовое сообщение:

Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

К сожалению, мы не можем воспроизвести ваше голосовое сообщение. Не могли бы вы отправить его повторно в виде текста?"
"Благоустройство, ЖКХ и уборка дорог",Когда заменят лампочки на 2 и 5 этаже в подъезде 3 в доме 22 по улице Вавилова?,шаблонный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Сожалеем, что так случилось. И прежде всего советуем обратиться в управляющую компанию вашего дома. 

Если по какой-то причине УК не сможет решить проблему, Вы можете оставить заявку на сайте портала «Наш Санкт-Петербург»: https://gorod.gov.spb.ru/
Это общегородской портал, где жители рассказывают о проблемах ЖКХ и благоустройства, а ответственные службы принимают во внимание проблему и решают её.

Мы представляем группу разработчиков мини-приложения «Я здесь живу» и можем только подсказать, куда нужно обращаться."
"Работа мини-аппа (найти, отписаться, указать адрес и т.п.)","Приложение ужасное, пользоваться невозможно, срочно требует доработки. А вы попросите обычного пользователя , к примеру Вашего родственника, знакомого пенсионного возраста воспользоваться приложением. И сделайте выводы","Не знаем, ищем данные именно в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Сожалеем, что Ваш опыт пользования нашим мини-приложением был негативным. Но мы готовы быть лучше и развиваться!

Расскажите, пожалуйста, что именно в приложении вызывает сложности? Что хотелось бы изменить, увидеть или добавить? Мы всегда показываем приложение нашим знакомым, друзьям и семье, внимательно слушаем их комментарии, а затем что-то улучшаем.

Чем больше петербуржцев будут рассказывать о своём опыте, тем лучше! Все советы и пожелания очень важны для нас."
Образование. Детские сады и Школы,"Добрый вечер. Как быстро добавляются новые сады? Садик завтра открывается, а в приложении его нет .Его просто нет и не было в приложении, как других новых садов, которые ожидали открытия","Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Данные обновляются ежедневно на основе результатов заседаний районных комиссий по комплектованию и актуальны на период текущего учебного года.

Подскажите, пожалуйста, какой садик не отображается?

Мы проверим информацию и вернемся к вам с ответом. Возможно, в этот садик уже нет мест."
Раздельный сбор,"По поводу раздельного сбора. У вас указаны контейнеры, которые уже несколько месяцев как убрали. Как можно оставлять пометки для вас об этом?","Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Нам жаль, что так произошло.

Вы можете позвонить на горящую линию и сообщить об этом в РЭО Радар по телефону - 8 (800) 551-31-20."
Прочее,// что-то гневное //,шаблонный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Мы понимаем, что вы разочарованы. 

Пожалуйста, сообщите нам, что мы можем сделать, чтобы исправить ситуацию. //

Мы приносим свои извинения за доставленные неудобства. 

Пожалуйста, дайте нам знать, чем мы можем помочь."
"Благоустройство, ЖКХ и уборка дорог","Беспокоят камары и тараканы 1 подъезд, Черкасова 12 к.1",шаблонный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Сожалеем, что так случилось. И прежде всего советуем обратиться в управляющую компанию вашего дома. 

Если по какой-то причине УК не сможет решить проблему, Вы можете оставить заявку на сайте портала «Наш Санкт-Петербург»: https://gorod.gov.spb.ru/
Это общегородской портал, где жители рассказывают о проблемах ЖКХ и благоустройства, а ответственные службы принимают во внимание проблему и решают её.

Мы представляем группу разработчиков мини-приложения «Я здесь живу» и можем только подсказать, куда нужно обращаться."
"Работа мини-аппа (найти, отписаться, указать адрес и т.п.)","Здравствуйте. Как открыть и настроить мини-приложение в мобильной версии? Не вижу ""+"", что в вашей инструкции. Возможности зайти в вк через компьютер нет.",шаблонный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Для того, чтобы установить мини-приложение «Я здесь живу» в Меню сообщества необходимо:
1. В левом верхнем углу Вы увидите +, нажмите на него.
2. Далее выберите нужное сообщество и нажмите на него.
3. Затем нужно только нажать кнопку «Добавить».

Прикрепляем ссылку на статью-инструкцию «Как установить приложение в сообщество»: https://vk.com/@ya_zdes_zhivu-ustanovka-i-nastroika-prilozheniya-ya-zdes-zhivu-v-soobsches

Если возникнут дополнительные вопросы, обязательно напишите нам, постараемся помочь."
Образование. Детские сады и Школы,И где этот сервис? Его нет в приложении.,"Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Проверьте, пожалуйста, ещё раз, обновлено ли приложение ВКонтакте до последней версии. Если нет, советуем обновить. Тогда все сервисы будут Вам доступны. 

Если ошибка сохраниться, напишите нам, пожалуйста, ещё раз."
Раздельный сбор,"Здравствуйте
Я хотел бы узнать, куда можно утилизировать используемые вейпы ?
Я обычно их просто выбрасываю, но в них же тоже аккумулятор","Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Одноразовые сигареты и электронные испарители можно утилизировать с помощью пунктов или контейнеров для приёма батареек.

Некоторые торговые сети устанавливают контейнеры специально для курительных устройств. К сожалению, данных о таких пунктах у нас нет."
Прочее,"Доброй ночи! Давайте будем честно себя вести, иначе ""задам вопрос"" я НЕ здесь! Надоели со своей нечестностью! Наша страна - Россия, давайте к ней бережно относиться! Всюду просто ""подставы""! Вы больны что ли! Я вылечу тогда!","Не знаем, ищем данные именно в мини-аппе","Добрый день, [имя]!

Просим уточнить, что именно по мнению человека нечестно в работе нашего приложения?

Заверяем его, что именно его мнение поможет нам улучшить мини-апп."
"Благоустройство, ЖКХ и уборка дорог",Хотела узнать график уборки парадных в доме.,шаблонный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Советуем обратиться в управляющую компанию вашего дома. УК — более надёжный источник в данном вопросе.

Мы представляем группу разработчиков мини-приложения «Я здесь живу» и можем только подсказать, куда нужно обращаться."
"Работа мини-аппа (найти, отписаться, указать адрес и т.п.)",а как с ответами на вопросы? Тишина,шаблонный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Мы отвечаем на все вопросы и с радостью общаемся на любые темы. 

Дело только в том, что делаем мы в это в рабочее время. :)"
Образование. Детские сады и Школы,"здравствуйте, я обновила недавно вк и в списках данного приложения нет, нашла его через вашу группу по ссылке. Проверьте пожалуйста. И к слову, оно не работает пишет ""ошибка запросов данных сада""","Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Проверьте, пожалуйста, ещё раз, обновлено ли приложение ВКонтакте до последней версии. Если нет, советуем обновить. Тогда все сервисы будут Вам доступны. 

Если ошибка сохраниться, напишите нам, пожалуйста, ещё раз."
Раздельный сбор,"ищем решение по раздельному сбору мусора для Массива Дунай, более 100 СНТ, более 10 000 участов по 6 соток, готовы сортировать мусор в отдельные баки. Помогите наладить работу в летний период. Из отходов пластик и стекло, иногда заказываем вывоз покрышек. остальное сжигается на участках или сдаётся в пугкты приёма. Нужно наладить работу регионального оператора!","Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Мы передали Ваш вопрос нашим партнёрам, движению Раздельный сбор. Коллеги советует заполнить заявку на консультацию председателя массива (или самого активного жителя массива) со ссылкой на сайт.

Эксперт Раздельного сбора изучит Вашу ситуацию и свяжется."
"Благоустройство, ЖКХ и уборка дорог","Добрый день,как подать жалобу на неработающий домофон?",шаблонизированный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Сожалеем, что так случилось. И прежде всего советуем обратиться в управляющую компанию вашего дома. 

Если по какой-то причине УК не сможет решить проблему, Вы можете оставить заявку на сайте портала «Наш Санкт-Петербург»: https://gorod.gov.spb.ru/
Это общегородской портал, где жители рассказывают о проблемах ЖКХ и благоустройства, а ответственные службы принимают во внимание проблему и решают её.

Мы представляем группу разработчиков мини-приложения «Я здесь живу» и можем только подсказать, куда нужно обращаться."
"Работа мини-аппа (найти, отписаться, указать адрес и т.п.)","Получается, что из ОК я уже попала в это приложение?","Не знаем, ищем данные именно в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Предполагаем, что Вы  увидели публикацию о нашем мини-приложении в сообществе Правительства Санкт-Петербурга в ОК. Так что да, Вы попали во ВКонтакте и «Я здесь живу» через Одноклассники.

Дело в том, что «Я здесь живу» находится внутри ВКонтакте, то есть дополнительно скачивать ничего не нужно.

Чтобы посмотреть приложение и воспользоваться сервисами в нём, Вы можете нажать на кнопку «Я здесь живу»."
Образование. Детские сады и Школы,А выборгский район не подаёт сведения или просто нет мест? может добавить на карту все сады для большей информативности,"Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Проверили по базам данных и, к сожалению, на текущий момент в Выборгском районе нет мест.

В такой ситуации рекомендуем вам обратиться в комиссию по комплектованию Выборгского района со ссылкой на сайт."
